country,imf_forecast,worldbank_estimate,unitednations_estimate,gdp_usd_billions
World,104476432.0,100562011.0,96698005.0,301736.45
United States,26949643.0,25462700.0,23315081.0,75727.42
China,17700899.0,17963171.0,17734131.0,53398.2
Germany,4429838.0,4072192.0,4259935.0,12761.96
Japan,4230862.0,4231141.0,4940878.0,13402.88
India,3732224.0,3385090.0,3201471.0,10318.78
United Kingdom,3332059.0,3070668.0,3131378.0,9534.1
France,3049016.0,2782905.0,2957880.0,8789.8
Italy,2186082.0,2010432.0,2107703.0,6304.22
Brazil,2126809.0,1920096.0,1608981.0,5655.89
Canada,2117805.0,2139840.0,1988336.0,6245.98
Russia,1862470.0,2240422.0,1778782.0,5881.67
Mexico,1811468.0,1414187.0,1272839.0,4498.49
South Korea,1709232.0,1665246.0,1810966.0,5185.44
Australia,1687713.0,1675419.0,1734532.0,5097.66
Spain,1582054.0,1397509.0,1427381.0,4406.94
Indonesia,1417387.0,1319100.0,1186093.0,3922.58
Turkey,1154600.0,905988.0,819034.0,2879.62
Netherlands,1092748.0,991115.0,1012847.0,3096.71
Saudi Arabia,1069437.0,1108149.0,833541.0,3011.13
Switzerland,905684.0,807706.0,812867.0,2526.26
Poland,842172.0,688177.0,679442.0,2209.79
Belgium,627511.0,578604.0,594104.0,1800.22
Argentina,621833.0,632770.0,487227.0,1741.83
Sweden,597110.0,585939.0,635664.0,1818.71
Ireland,589569.0,529245.0,504183.0,1623.0
Norway,546768.0,579267.0,482175.0,1608.21
Austria,526182.0,471400.0,480368.0,1477.95
Israel,521688.0,522033.0,481591.0,1525.31
Thailand,512193.0,495341.0,505982.0,1513.52
United Arab Emirates,509179.0,507535.0,405468.0,1422.18
Singapore,497347.0,466789.0,396992.0,1361.13
Bangladesh,446349.0,460201.0,414907.0,1321.46
Philippines,435675.0,404284.0,394086.0,1234.04
Vietnam,433356.0,408802.0,366138.0,1208.3
Malaysia,430895.0,406306.0,372702.0,1209.9
Denmark,420800.0,395404.0,398303.0,1214.51
Egypt,398397.0,476748.0,425906.0,1301.05
Nigeria,390002.0,477386.0,430923.0,1298.31
Hong Kong,385546.0,359839.0,369174.0,1114.56
South Africa,380906.0,405870.0,419016.0,1205.79
Iran,366438.0,388544.0,594892.0,1349.87
Colombia,363835.0,343939.0,314464.0,1022.24
Romania,350414.0,301262.0,284086.0,935.76
Chile,344400.0,301025.0,317059.0,962.48
Pakistan,340636.0,376533.0,342501.0,1059.67
Czech Republic,335243.0,290924.0,281778.0,907.94
Finland,305689.0,280826.0,297302.0,883.82
Portugal,276432.0,251945.0,253663.0,782.04
Peru,264636.0,242632.0,223252.0,730.52
Kazakhstan,259292.0,220623.0,193018.0,672.93
